Time,Source,Destination,Protocol,Length,Info
13.411273999999999,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=11405 Win=17408 Len=0
13.411446,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=12835 Win=17408 Len=0
13.412823999999999,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=15688 Win=17408 Len=0
13.419191,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=18548 Win=17408 Len=0
13.425978,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=20140 Win=17408 Len=0
13.435756,10.218.72.130,54.192.35.107,TCP,54,"13181  >  443 [RST, ACK] Seq=1039 Ack=13831 Win=0 Len=0"
13.441289999999999,54.192.35.107,10.218.72.130,TCP,54,"443  >  13181 [FIN, ACK] Seq=13831 Ack=1039 Win=32512 Len=0"
13.463676999999999,54.192.35.107,10.218.72.130,TCP,66,"443  >  13190 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
13.463804999999999,10.218.72.130,54.192.35.107,TCP,54,13190  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
13.483541,54.192.35.107,10.218.72.130,TCP,54,443  >  13186 [ACK] Seq=1 Ack=518 Win=30464 Len=0
13.495875,54.192.35.107,10.218.72.130,TCP,54,443  >  13187 [ACK] Seq=1 Ack=518 Win=30464 Len=0
13.499975,54.192.35.107,10.218.72.130,TCP,54,443  >  13188 [ACK] Seq=1 Ack=518 Win=30464 Len=0
13.505742000000001,54.192.35.107,10.218.72.130,TCP,54,443  >  13189 [ACK] Seq=1 Ack=518 Win=30464 Len=0
13.519692000000001,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=24430 Win=17408 Len=0
13.522001999999999,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=24602 Win=17152 Len=0
13.523734,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=28892 Win=17408 Len=0
13.530636,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=31752 Win=17408 Len=0
13.537486,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=34612 Win=17408 Len=0
13.546016,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=36042 Win=17408 Len=0
13.567076,54.192.35.107,10.218.72.130,TCP,54,443  >  13190 [ACK] Seq=1 Ack=518 Win=30464 Len=0
13.590763,10.218.72.130,216.58.204.37,TCP,54,13184  >  443 [ACK] Seq=1925 Ack=37472 Win=17408 Len=0
13.619538,10.218.72.130,52.8.44.206,TCP,54,"13176  >  443 [RST, ACK] Seq=731 Ack=5997 Win=0 Len=0"
13.623641000000001,216.58.204.37,10.218.72.130,TCP,1484,[TCP Previous segment not captured] [TCP segment of a reassembled PDU]
13.623712,10.218.72.130,216.58.204.37,TCP,66,13184  >  443 [ACK] Seq=1925 Ack=38902 Win=17408 Len=0 SLE=40332 SRE=41762
13.625613000000001,10.218.72.130,216.58.204.37,TCP,66,[TCP Dup ACK 448#1] 13184  >  443 [ACK] Seq=1925 Ack=38902 Win=17408 Len=0 SLE=40332 SRE=43192
13.626033999999999,54.192.35.107,10.218.72.130,TCP,54,443  >  13186 [ACK] Seq=157 Ack=569 Win=30464 Len=0
13.628716,10.218.72.130,216.58.204.37,TCP,66,[TCP Dup ACK 448#2] 13184  >  443 [ACK] Seq=1925 Ack=38902 Win=17408 Len=0 SLE=40332 SRE=44622
